latitude,longitude,temperature,ph,conductivity
28.13517761,-80.5958786,0,0,-1023
28.13517952,-80.59589386,0,0,-1023
28.13518906,-80.59590912,0,0,-1023
28.13519478,-80.59591675,0,0,-1023
28.13520622,-80.59593964,0,0,-1023
28.13521385,-80.5959549,0,0,-1023
28.1352253,-80.59597015,0,0,-1023
28.13523102,-80.59597778,0,0,-1023
28.13524055,-80.59600067,0,0,-1023
28.13524437,-80.59601593,0,0,-1023
28.135252,-80.59603119,0,0,-1023
28.13525391,-80.59603882,0,0,-1023
28.13526154,-80.59605408,0,0,-1023
28.13526726,-80.59606171,0,0,-1023
28.13527489,-80.59608459,0,0,-1023
28.13528061,-80.59609222,0,0,-1023
28.13528824,-80.59610748,0,0,-1023
28.13529205,-80.59611511,0,0,-1023
28.13530159,-80.596138,0,0,-1023
28.13530922,-80.59614563,0,0,-1023
28.13531876,-80.59616852,0,0,-1023
28.13532448,-80.59618378,0,0,-1023
28.13533592,-80.59620667,0,0,-1023
28.13534164,-80.59622192,0,0,-1023
28.13535309,-80.59623718,0,0,-1023
28.13535881,-80.59625244,0,0,-1023
28.13536644,-80.5962677,0,0,-1023
28.13537025,-80.59627533,0,0,-1023
28.13538361,-80.59629059,0,0,-1023
28.13538933,-80.59630585,0,0,-1023
28.13539886,-80.59632111,0,0,-1023
28.13540268,-80.59632874,0,0,-1023
28.13541222,-80.59634399,0,0,-1023
28.13541794,-80.59635162,0,0,-1023
28.13542747,-80.59636688,0,0,-1023
28.1354332,-80.59637451,0,0,-1023
28.13544083,-80.59638977,0,0,-1023
28.13544846,-80.5963974,0,0,-1023
28.13545799,-80.59642029,0,0,-1023
28.13546371,-80.59642792,0,0,-1023
28.13547516,-80.59645081,0,0,-1023
28.1354847,-80.59647369,0,0,-1023
28.13549042,-80.59648132,0,0,-1023
28.13550568,-80.59651184,0,0,-1023
28.1355114,-80.59651947,0,0,-1023
28.13551903,-80.59654236,0,0,-1023
28.13552666,-80.59655762,0,0,-1023
28.13554001,-80.59657288,0,0,-1023
28.13554573,-80.59658051,0,0,-1023
28.13555527,-80.59659576,0,0,-1023
28.13556099,-80.59661102,0,0,-1023
28.13557243,-80.59662628,0,0,-1023
28.13557816,-80.59664154,0,0,-1023
28.13559341,-80.5966568,0,0,-1023
28.13559914,-80.59666443,0,0,-1023
28.1356144,-80.59667969,0,0,-1023
28.13562393,-80.59668732,0,0,-1023
28.13563728,-80.59670258,0,0,-1023
28.13564491,-80.59671021,0,0,-1023
28.13566017,-80.59671783,0,0,-1023
28.1356678,-80.59672546,0,0,-1023
28.13568497,-80.59674072,0,0,-1023
28.1356945,-80.59674835,0,0,-1023
28.13570976,-80.59677124,0,0,-1023
28.1357193,-80.59677887,0,0,-1023
28.13573647,-80.59680176,0,0,-1023
28.13574409,-80.59680939,0,0,-1023
28.13575935,-80.59683228,0,0,-1023
28.13576698,-80.5968399,0,0,-1023
28.13578415,-80.59686279,0,0,-1023
28.13579178,-80.59687042,0,0,-1023
28.13580894,-80.59688568,0,0,-1023
28.13581657,-80.59689331,0,0,-1023
28.13582993,-80.59690857,0,0,-1023
28.13583946,-80.5969162,0,0,-1023
28.13585281,-80.59693146,0,0,-1023
28.13586235,-80.59694672,0,0,-1023
28.13588142,-80.59696198,0,0,-1023
28.13589096,-80.59696198,0,0,-1023
28.13590622,-80.5969696,0,0,-1023
28.13591576,-80.5969696,0,0,-1023
28.13593483,-80.5969696,0,0,-1023
28.13594437,-80.5969696,0,0,-1023
28.13596535,-80.59696198,0,0,-1023
28.13597488,-80.59696198,0,0,-1023
28.13600159,-80.59695435,0,0,-1023
28.13601494,-80.59695435,0,0,-1023
28.13604164,-80.59694672,0,0,-1023
28.13604927,-80.59693909,0,0,-1023
28.13606453,-80.59693146,0,0,-1023
28.13607216,-80.59692383,0,0,-1023
28.13608932,-80.59690094,0,0,-1023
28.13609505,-80.59689331,0,0,-1023
28.13610649,-80.59687042,0,0,-1023
28.1361084,-80.59686279,0,0,-1023
28.13611412,-80.5968399,0,0,-1023
28.13611603,-80.59683228,0,0,-1023
28.13611984,-80.59680176,0,0,-1023
28.13611794,-80.59677887,0,0,-1023
28.13611794,-80.59676361,0,0,-1023
28.13611794,-80.59674072,0,0,-1023
28.13611794,-80.59673309,0,0,-1023
28.13611603,-80.59671021,0,0,-1023
28.13611603,-80.59669495,0,0,-1023
28.13611794,-80.59667206,0,0,-1023
28.13611603,-80.59666443,0,0,-1023
28.13611031,-80.59664154,0,0,-1023
28.1361084,-80.59662628,0,0,-1023
28.13610649,-80.59659576,0,0,-1023
28.13610458,-80.59658051,0,0,-1023
28.13610268,-80.59655762,0,0,-1023
28.13610268,-80.59654999,0,0,-1023
28.13610268,-80.59651947,0,0,-1023
28.13610268,-80.59651184,0,0,-1023
28.13610268,-80.59648132,0,0,-1023
28.13610077,-80.59647369,0,0,-1023
28.13610077,-80.59644318,0,0,-1023
28.13610268,-80.59643555,0,0,-1023
28.13610268,-80.59640503,0,0,-1023
28.13610268,-80.59638977,0,0,-1023
28.13609695,-80.59636688,0,0,-1023
28.13609505,-80.59635162,0,0,-1023
28.13609695,-80.59632111,0,0,-1023
28.13609695,-80.59630585,0,0,-1023
28.13610077,-80.59628296,0,0,-1023
28.13609886,-80.5962677,0,0,-1023
28.13609505,-80.59625244,0,0,-1023
28.13609123,-80.59623718,0,0,-1023
28.13608742,-80.59621429,0,0,-1023
28.13608742,-80.59619904,0,0,-1023
28.13608932,-80.59617615,0,0,-1023
